Racehorse,YOF,Sex,Trainer,Latest,"2 runs ago","3 runs ago","4 runs ago","5 runs ago","6 runs ago"
"A BOY NAMED IVY (IRE)",2018,GELDING,,T:73,T:79,T:72,T:63,T:74,T:80
"A DAY TO DREAM (IRE)",2020,GELDING,"Ollie Pears",A:42,T:47,T:x,T:x,T:x,-
"A DEFINITE GETAWAY (IRE)",2018,GELDING,"Ben Pauling",H:x,H:x,H:x,-,-,-
"A DIFFERENT KIND (IRE)",2017,GELDING,"Donald McCain",H:93,H:135,H:x,H:x,H:x,H:x
"A E HOUSMAN (GB)",2019,COLT,,T:71,A:x,A:x,T:x,T:x,-
"A LA FRANCAISE (GB)",2019,FILLY,"Jim Goldie",T:61,T:71,A:65,T:61,A:50,T:63
"A LADY FOREVER (GB)",2019,FILLY,"Robyn Brisland",A:x,A:x,A:x,T:x,-,-
"A LITTLE RESPECT (IRE)",2020,FILLY,"Charlie Johnston",A:x,A:x,A:x,-,-,-
"A PLACE APART (IRE)",2014,GELDING,"Lisa Harrison",H:38,H:18,H:81,H:75,H:80,H:0
"A SHINING MOON (IRE)",2018,GELDING,"Paul Midgley",H:x,H:x,H:x,A:53,T:59,A:x
"A SURE WELCOME (GB)",2014,GELDING,"John Spearing",T:70,A:64,T:56,T:82,T:76,T:83
"A TASTE OF HONEY (GB)",2020,FILLY,"Archie Watson",A:x,T:x,T:x,-,-,-
"A TIME TO SHINE (IRE)",2015,GELDING,"Oliver Sherwood",S:109,S:0,S:117,H:x,H:x,-
"AADDEEY (IRE)",2017,GELDING,"Archie Watson",T:83,A:101,T:103,T:96,T:96,T:97
"AASHEQ (IRE)",2013,GELDING,,T:64,T:82,T:78,T:83,T:90,T:86
"AASSER (FR)",2019,GELDING,,A:89,T:83,T:89,T:88,T:80,A:85
"AAZZA (IRE)",2016,FILLY,"Rose Dobbin",H:103,H:90,S:80,S:0,S:91,H:85
"ABATE (GB)",2016,GELDING,"Adrian Nicholls",T:69,T:70,T:75,T:78,T:76,T:73
"ABAYA DU MATHAN (FR)",2012,GELDING,"David Pipe",S:0,S:86,S:0,S:63,S:85,S:69
"ABBADO (GB)",2019,COLT,,T:73,A:x,T:x,A:x,-,-
"ABBEY HEIGHTS (GB)",2018,GELDING,"Daniel & Claire Kubler",A:75,A:80,A:75,T:44,A:x,A:x
"ABBEY'S DREAM (GB)",2020,FILLY,"Archie Watson",A:x,A:x,A:x,A:x,A:x,-
"ABBIE POWER (IRE)",2019,FILLY,,T:x,T:46,A:63,T:x,T:61,A:x
"ABDUCTION (FR)",2018,GELDING,"Jim Goldie",T:87,T:86,T:80,T:62,T:77,T:77
"ABEL HANDY (IRE)",2015,GELDING,,T:41,T:49,T:40,T:50,T:61,T:47
"ABERAMA GOLD (GB)",2017,GELDING,"Keith Dalgleish",A:82,A:80,A:84,A:75,T:80,T:87
"ABERFOYLE (IRE)",2020,GELDING,"Charles Hills",A:56,A:x,T:x,T:x,-,-
"ABIE MY BOY (GB)",2019,GELDING,"Pat Phelan",A:x,A:x,A:x,-,-,-
"ABINGTON PARK (GB)",2015,GELDING,"Alex Hales",S:0,S:58,S:76,S:81,S:72,H:82
"ABINGWORTH (GB)",2018,GELDING,"Gary Moore",H:x,H:x,H:x,N:x,N:x,N:x
"ABLE KANE (GB)",2017,GELDING,"Rod Millman",T:45,T:79,T:91,T:91,T:61,T:79
"ABNAA (GB)",2017,GELDING,"Antony Brittain",A:72,A:62,A:61,A:64,A:68,A:61
"ABOLISH (GB)",2016,GELDING,"Iain Jardine",A:79,A:85,A:78,A:87,A:84,T:69
"ABOUND (GB)",2017,FILLY,,A:21,T:0,A:48,A:50,T:45,T:x
"ABOVE (FR)",2017,GELDING,"Stuart Williams",A:56,T:89,T:77,A:93,T:80,T:93
"ABRAAJ (FR)",2018,GELDING,"Simon Pearce",H:x,H:x,A:59,T:0,T:52,A:54
"ABRUZZO MIA (GB)",2017,GELDING,"Michael Dods",A:74,A:x,T:x,T:x,-,-
"ABSOLUTE DREAM (IRE)",2016,GELDING,"Richard Fahey",T:54,T:48,T:68,T:72,T:65,T:68
"ABSOLUTE PEACH (IRE)",2020,FILLY,"Tom Ward",A:39,T:0,A:43,A:x,A:x,A:x
"ABSOLUTE QUEEN (IRE)",2020,FILLY,"George Boughey",A:64,A:60,T:x,T:x,T:x,-
"ABSOLUTE RULER (USA)",2019,GELDING,"Jennie Candlish",T:65,T:72,T:84,-,-,-
"ABSOLUTELY DYLAN (IRE)",2013,GELDING,"Sue Smith",S:42,S:64,S:65,S:78,S:93,S:92
"ABSOLUTELYFLAWLESS (GB)",2020,FILLY,"David Loughnane",T:33,T:61,T:75,T:82,A:x,-
"ABSTINENCE (GB)",2018,FILLY,,T:86,T:98,A:98,A:x,A:x,-
"ABSTRACT (IRE)",2018,GELDING,"Tony Carroll",A:34,A:55,A:34,A:53,-,-
"ABU MALEK (IRE)",2018,GELDING,,A:74,A:71,T:54,T:60,T:x,T:x
"ABUFFALOSOLDIER (IRE)",2017,GELDING,"Warren Greatrex",H:127,H:127,H:116,H:x,H:x,N:x
"ACADIAN CITY (GB)",2019,FILLY,"Michael Attwater",A:15,T:10,A:35,T:x,T:x,A:x
"ACAI (IRE)",2020,GELDING,"Clive Cox",A:76,A:67,T:39,T:x,T:x,T:x
"ACCELERANDO (IRE)",2019,FILLY,,A:46,T:56,T:46,A:63,A:60,A:63
"ACCIDENTAL AGENT (GB)",2014,GELDING,"Eve Johnson Houghton",A:93,T:105,T:102,T:105,T:108,T:109
"ACCIDENTAL LEGEND (IRE)",2017,GELDING,"Fergal O'Brien",H:100,H:95,H:49,H:x,H:x,H:x
"ACCIDENTAL REBEL (GB)",2014,GELDING,"Fergal O'Brien",H:x,H:122,H:119,H:119,H:x,-
"ACCRINGTON STANLEY (GB)",2018,GELDING,,T:57,T:57,A:39,T:56,T:55,T:57
"ACE OF HARTS (GB)",2018,GELDING,,A:x,T:x,T:x,-,-,-
"ACE ROTHSTEIN (USA)",2018,GELDING,"Martin Smith",T:80,T:85,T:87,A:78,A:84,T:89
"ACE TIME (GB)",2014,GELDING,"J. R. Jenkins",H:0,H:0,H:60,H:78,H:68,H:33
"ACED IT (IRE)",2016,GELDING,"Camilla Poulton",A:87,A:82,A:85,A:83,A:85,A:81
"ACES FULL (FR)",2015,GELDING,"Sean Curran",S:0,-,-,-,-,-
"ACHELOIS (IRE)",2018,FILLY,,T:80,T:66,T:102,T:102,T:77,T:98
"ACHILLE (FR)",2010,GELDING,"Venetia Williams",S:78,S:0,S:111,S:0,S:108,S:116
"ACHNAMARA (GB)",2019,COLT,"Harry Fry",H:97,A:93,T:76,T:89,T:71,T:72
"ACONCAGUA MOUNTAIN (IRE)",2018,GELDING,"Iain Jardine",A:60,A:54,T:5,A:20,T:43,T:48
"ACOTANGO (IRE)",2020,COLT,"Harry & Roger Charlton",A:83,T:x,T:x,T:x,-,-
"ACOUSTIC (IRE)",2019,COLT,"Maurice Barnes",T:30,T:48,T:44,T:x,A:x,T:x
"ACRION (IRE)",2018,GELDING,,T:48,T:44,A:x,A:x,A:x,-
