Name,Year,Sex,Sire,Dam,Trainer,Flat rating,Diff Flat,Flat Clltrl,AWT rating,Diff AWT,AWT Clltrl,Chase rating,Diff Chase,Chase Clltrl,Hurdle rating,Diff Hurdle,Hurdle Clltrl
A BOY NAMED IVY (IRE),2018,GELDING,MARKAZ (IRE),ST ATHAN (GB),,79,,,,,,,,,,,
A DAY TO DREAM (IRE),2020,GELDING,ADAAY (IRE),TARA TOO (IRE),Ollie Pears,49,,,,,,,,,,,
A DEFINITE GETAWAY (IRE),2018,GELDING,GETAWAY (GER),DEF IT VIC (IRE),Ben Pauling,,,,,,,,,,112,-1,
A DIFFERENT KIND (IRE),2017,GELDING,DOYEN (IRE),MA MINX (IRE),Donald McCain,,,,,,,,,,133,,
A E HOUSMAN (GB),2019,COLT,OASIS DREAM (GB),ASTRONOMY'S CHOICE (GB),,82,,,,,,,,,,,
A LA FRANCAISE (GB),2019,FILLY,POSTPONED (IRE),ALAMODE (GB),Jim Goldie,71,,,,,,,,,,,
A LADY FOREVER (GB),2019,FILLY,ADAAY (IRE),LADY FILLY (GB),Robyn Brisland,42,,,,,,,,,,,
A LITTLE RESPECT (IRE),2020,FILLY,SEA THE STARS (IRE),SIMANNKA (IRE),Charlie Johnston,43,,,,,,,,,,,
A PLACE APART (IRE),2014,GELDING,POWER (GB),SIMADARTHA (USA),Lisa Harrison,,,,,,,,,,75,,
A SHINING MOON (IRE),2018,GELDING,SEA THE MOON (GER),ALIANA (GER),Paul Midgley,65,,,,,,,,,86,,
A SURE WELCOME (GB),2014,GELDING,PASTORAL PURSUITS (GB),CROESO BACH (GB),John Spearing,80,,,,,,,,,,,
A TASTE OF HONEY (GB),2020,FILLY,HARRY ANGEL (IRE),GIMME SOME LOVIN (IRE),Archie Watson,76,,,,,,,,,,,
A TIME TO SHINE (IRE),2015,GELDING,MALINAS (GER),ROYAL BRIDE (GB),Oliver Sherwood,,,,,,,110,,,,,
AADDEEY (IRE),2017,GELDING,NEW APPROACH (IRE),FEEDYAH (USA),Archie Watson,101,,,,,,,,,,,
AASHEQ (IRE),2013,GELDING,DUBAWI (IRE),BEACH BUNNY (IRE),,80,,,,,,,,,,,
AASSER (FR),2019,GELDING,DABIRSIM (FR),IFFRAJA (IRE),,89,,,,,,,,,,,
AAZZA (IRE),2016,FILLY,BEAT HOLLOW (GB),KALYGARDE (FR),Rose Dobbin,,,,,,,,,,103,,
ABATE (GB),2016,GELDING,BATED BREATH (GB),RED KYTE (GB),Adrian Nicholls,75,,,,,,,,,,,
ABAYA DU MATHAN (FR),2012,GELDING,AL NAMIX (FR),SWAHILIE DU MATHAN (FR),David Pipe,,,,,,,89,-2,,,,
ABBADO (GB),2019,COLT,ALMANZOR (FR),ALLEGRETTO (IRE),,86,,,,,,,,,,,
ABBEY HEIGHTS (GB),2018,GELDING,DARK ANGEL (IRE),DUCISSA (GB),Daniel & Claire Kubler,80,,,,,,,,,,,
ABBEY'S DREAM (GB),2020,FILLY,TASLEET (GB),BLUE OYSTER (GB),Archie Watson,69,,,,,,,,,,,
ABBIE POWER (IRE),2019,FILLY,BUNGLE INTHEJUNGLE (GB),LADY'S LOCKET (IRE),,62,,,,,,,,,,,
ABDUCTION (FR),2018,GELDING,ACCLAMATION (GB),PERFECT DAY (IRE),Jim Goldie,87,,,,,,,,,,,
ABEL HANDY (IRE),2015,GELDING,ARCANO (IRE),BELLE ISLE (GB),,52,,,,,,,,,,,
ABERAMA GOLD (GB),2017,GELDING,HEERAAT (IRE),NIGELLA (GB),Keith Dalgleish,83,,,,,,,,,,,
ABERFOYLE (IRE),2020,GELDING,TASLEET (GB),ORANGE PIP (GB),,56,,,,,,,,,,,
ABIE MY BOY (GB),2019,GELDING,EQUIANO (FR),ELLIE IN THE PINK (IRE),Pat Phelan,45,,,,,,,,,,,
ABINGTON PARK (GB),2015,GELDING,PASSING GLANCE (GB),EPICUREAN (GB),Alex Hales,,,,,,,76,,,,,
ABINGWORTH (GB),2018,GELDING,KAPGARDE (FR),FLUTE BOWL (GB),Gary Moore,,,,,,,,,,97,,
ABLE KANE (GB),2017,GELDING,DUE DILIGENCE (USA),SUGAR BEET (GB),Rod Millman,90,,,,,,,,,,,
ABNAA (GB),2017,GELDING,DARK ANGEL (IRE),ALONG CAME CASEY (IRE),Antony Brittain,74,,,,,,,,,,,
