Year Foaled,Sire,Dam,Sex,Consignor,Price (€),Purchaser,Price (£),Price (gns)
2020.0,Lope de Vega (IRE),Ebeyina (IRE),Colt,Ballylinch Stud,130000.0,Highflyer Bloodstock          ,,
2020.0,U S Navy Flag (USA),Edelline (IRE),Colt,Lynn Lodge Stud,36000.0,Brown Island Stables           (PS),,
2020.0,Holy Roman Emperor (IRE),Elaysa (GB),Colt,Redpender Stud,90000.0,BBA Ireland                   ,,
2020.0,No Nay Never (USA),Eldalil (GB),Filly,Oaks Farm Stables,85000.0,Charlie O'Connor/Lewis Lakin  ,,
2020.0,Churchill (IRE),Elizabelle (IRE),Filly,Baroda Stud,60000.0,Jason Kelly Bloodstock        ,,
2020.0,Gleneagles (IRE),Elle Woods (IRE),Colt,Lambertstown Stud,62000.0,Howson & Houldsworth/Genesis  ,,
2020.0,Starspangledbanner (AUS),Elusive Gold (IRE),Colt,Galbertstown Stables,68000.0,McKeever Bloodstock/C Hills   ,,
2020.0,Camelot (GB),Enchanted Empress (IRE),Colt,The Castlebridge Consignment,,Not Sold (95000),,
2020.0,Churchill (IRE),Endure (IRE),Colt,Lynn Lodge Stud,85000.0,Francisco Castro              ,,
2020.0,Wootton Bassett (GB),Eneza (IRE),Colt,Tally Ho Stud,150000.0,M V Magnier                   ,,
2020.0,Bated Breath (GB),Enfijaar (IRE),Colt,Glenvale Stud,75000.0,McKeever Bloodstock/C Hills   ,,
2020.0,Roaring Lion (USA),Ensaya (IRE),Filly,Baroda Stud,40000.0,Highflyer Bloodstock/A King   ,,
2020.0,Cracksman (GB),Epic Emirates (GB),Filly,Glidawn Stud,21000.0,BBA Ireland                   ,,
2020.0,Havana Gold (IRE),Espere (IRE),Filly,Rossenarra Stud,30000.0,Jack Davison                  ,,
2020.0,Galileo Gold (GB),Esterlina (IRE),Filly,Ringfort Stud,70000.0,BBA Ireland                   ,,
2020.0,Ribchester (IRE),Etesian Flow (GB),Filly,Mountain View Stud,140000.0,Blandford Bloodstock          ,,
2020.0,Churchill (IRE),Euphrasia (IRE),Colt,The Castlebridge Consignment,75000.0,M V Magnier                   ,,
2020.0,Gleneagles (IRE),Euthenia (GB),Filly,Ballyvolane Stud,15000.0,Paragon Bloodstock             (PS),,
2020.0,Invincible Spirit (IRE),Excel Yourself (IRE),Filly,Springwell Stud,40000.0,Con Marnane                   ,,
2020.0,Sea The Moon (GER),Exploitation (IRE),Filly,Grove Stud,,Withdrawn,,
2020.0,Golden Horn (GB),Eye Witness (GER),Filly,The Castlebridge Consignment,,Vendor (58000),,
2020.0,Sioux Nation (USA),Fancy (IRE),Filly,Whitehall Stud,40000.0,Johnston Racing               ,,
2020.0,Zoffany (IRE),Fantasy In Blue (GB),Colt,Weir View Stud,15000.0,Anna Calder                    (PS),,
2020.0,Acclamation (GB),Fashion Theory (GB),Colt,Baroda Stud,80000.0,Andrew Balding                ,,
2020.0,Dark Angel (IRE),Fiesolana (IRE),Colt,Camas Park Stud,,Withdrawn,,
2020.0,Kodiac (GB),Fikrah (GB),Filly,"Fitzgerald, Ms. Alice",340000.0,Peter & Ross Doyle B/S        ,,
2020.0,Fast Company (IRE),Finagle (IRE),Filly,Airlie Stud,68000.0,Paddy Twomey                  ,,
2020.0,Dark Angel (IRE),Fine Blend (IRE),Filly,Yeomanstown Stud,60000.0,Barry Lynch                   ,,
2020.0,Kingman (GB),Finsceal Beo (IRE),Filly,Al Eile Stud,500000.0,Johnny Murtagh/Eddie Linehan  ,,
2020.0,Gleneagles (IRE),First Blush (IRE),Colt,Danesrath Stud,100000.0,Joseph O'Brien                ,,
2020.0,Dark Angel (IRE),Flame of Gibraltar (IRE),Filly,Whitehall Stud,110000.0,Blandford Bloodstock          ,,
2020.0,Camacho (GB),Floriade (IRE),Colt,Newtown Stud,,Withdrawn,,
2020.0,Churchill (IRE),Flowers Will Bloom (IRE),Filly,Castlehyde Stud,60000.0,Durcan Bloodstock/M Grassick  ,,
2020.0,Teofilo (IRE),Flute Enchante (FR),Colt,Baroda Stud,45000.0,John O'Shea (AUS)/D Farrington,,
2020.0,Invincible Spirit (IRE),Fly On The Night (GB),Filly,Irish National Stud,,Withdrawn,,
2020.0,Australia (GB),Forces of Darkness (IRE),Colt,The Castlebridge Consignment,25000.0,Johnston Racing               ,,
2020.0,Showcasing (GB),Fort Del Oro (IRE),Filly,Ballylinch Stud,,Withdrawn,,
2020.0,Starspangledbanner (AUS),Fou Rire (IRE),Colt,Knocktoran Stud,85000.0,New Approach Bloodstock       ,,
2020.0,Starspangledbanner (AUS),French Flirt (GB),Colt,Castlehyde Stud,220000.0,HKJC                          ,,
2020.0,Profitable (IRE),French Friend (IRE),Filly,Boherguy Stud,55000.0,Brian Grassick Bloodstock     ,,
2020.0,Churchill (IRE),Fresh Mint (IRE),Filly,Tinnakill House,45000.0,O'Donoghue Racing              (PS),,
2020.0,Sea The Stars (IRE),Furia Cruzada (CHI),Colt,Irish National Stud,,Withdrawn,,
2020.0,Lope de Vega (IRE),Gallitea (IRE),Colt,Ballylinch Stud,150000.0,Amanda Skiffington            ,,
2020.0,Australia (GB),Gems (GB),Filly,Baroda Stud,185000.0,Philip Antonacci              ,,
2020.0,Zoffany (IRE),Genuine Quality (USA),Filly,Lynn Lodge Stud,130000.0,Hugo Merry Bloodstock         ,,
2020.0,Noble Mission (GB),Gianna Schicchi (USA),Filly,Pier House Stud,85000.0,Powerstown Stud               ,,
2020.0,Saxon Warrior (JPN),Gilt Edge Girl (GB),Colt,Oaks Farm Stables,270000.0,M V Magnier                   ,,
2020.0,Holy Roman Emperor (IRE),Girl of The Hour (GB),Colt,Moyfinn Stud,75000.0,Johnny Murtagh/Eddie Linehan  ,,
2020.0,Australia (GB),Glenrowan Rose (IRE),Colt,Derrymore Farm,,Withdrawn,,
2020.0,Zoustar (AUS),Golden Salute (IRE),Filly,Airlie Stud,60000.0,Paddy Twomey                  ,,
2020.0,Showcasing (GB),Gorane (IRE),Colt,Ballyhane,,Withdrawn,,
2020.0,Expert Eye (GB),Gower Song (GB),Colt,Tinnakill House,52000.0,Niall Brennan                 ,,
2020.0,U S Navy Flag (USA),Greatest Place (IRE),Colt,Castlehyde Stud,40000.0,Castle Quarter                ,,
2020.0,Oasis Dream (GB),Green Swallow (FR),Filly,Tinnakill House,36000.0,Johnston Racing               ,,
2020.0,Dark Angel (IRE),Grizzel (IRE),Colt,Mount Coote Stud,,Withdrawn,,
2020.0,Bungle Inthejungle (GB),Guana (IRE),Filly,Whiteoaks,125000.0,SackvilleDonald               ,,
2020.0,Churchill (IRE),Guaranda (GB),Filly,The Castlebridge Consignment,82000.0,Jonathan Green DJ Stables     ,,
2020.0,Starspangledbanner (AUS),Gypsy Eyes (IRE),Colt,Glenvale Stud,25000.0,Kilglin Stables                (PS),,
2020.0,Kodiac (GB),Hanalei Memories (USA),Colt,Tally Ho Stud,130000.0,Stroud Coleman Bloodstock     ,,
2020.0,Caravaggio (USA),Height of Elegance (IRE),Colt,Glenvale Stud,80000.0,Philip Antonacci/J O'Brien    ,,
2020.0,Mastercraftsman (IRE),Heroine Chic (IRE),Filly,Mountarmstrong Stud,95000.0,Highflyer Bloodstock          ,,
2020.0,Camelot (GB),High Fidelity (GER),Filly,Camas Park Stud,80000.0,Jeremy Brummitt Quantum Leap  ,,
2020.0,Mayson (GB),Highdive (IRE),Filly,Hollyhill Stud,58000.0,Meridian International        ,,
2020.0,Mastercraftsman (IRE),Hold Me Now (USA),Filly,Weir View Stud,,Not Sold (18000),,
2020.0,Dandy Man (IRE),Holy Norma (GB),Colt,Springwell Stud,23000.0,Brown Island Stables          ,,
2020.0,Zoffany (IRE),Hot Legs (IRE),Filly,Whitehall Stud,,Not Sold (9000),,
2020.0,Saxon Warrior (JPN),Hug And A Kiss (USA),Filly,Castlehyde Stud,20000.0,Shanaville Stables             (PS),,
2020.0,Decorated Knight (GB),Hugs 'n Kisses (IRE),Colt,Irish National Stud,40000.0,Andrew Balding                ,,
2020.0,U S Navy Flag (USA),Humble And Proud (IRE),Filly,Killourney Mor Farm,160000.0,"Ben McElroy, Agent            ",,
2020.0,Dubawi (IRE),I Am Beautiful (IRE),Colt,The Castlebridge Consignment,125000.0,D Farrington                  ,,
2020.0,Footstepsinthesand (GB),Ihtiraam (IRE),Colt,Abbeville Stud,100000.0,"A.C. Elliott, Agent           ",,
2020.0,Australia (GB),Imalwayshotforyou (USA),Colt,Ringfort Stud,40000.0,Avenue Bloodstock             ,,
2020.0,Sioux Nation (USA),Impressionist Art (USA),Colt,Glenvale Stud,70000.0,Ebonos                        ,,
2020.0,No Nay Never (USA),Inca Wood (UAE),Filly,Manister House Stud,105000.0,Jonathan Green DJ Stables     ,,
2020.0,Footstepsinthesand (GB),Inis Boffin (GB),Filly,The Premier Consignment,130000.0,De Burgh Equine/Linda Shanahan,,
2020.0,Zoffany (IRE),Innocent Air (GB),Filly,The Castlebridge Consignment,210000.0,Eric Long                     ,,
2020.0,Gregorian (IRE),Intaglia (GER),Filly,The Castlebridge Consignment,25000.0,Shamrock Thoroughbreds         (PS),,
2020.0,Kodiac (GB),Inverse (IRE),Filly,Tally Ho Stud,225000.0,Amanda Skiffington            ,,
2020.0,Sea The Moon (GER),Isostatic (GB),Colt,Tradewinds Stud,50000.0,Mr Emmet Mullins               (PS),,
2020.0,Showcasing (GB),Jasmine Blue (IRE),Filly,Deerpark Stud,145000.0,Richard Ryan                  ,,
2020.0,Dandy Man (IRE),Jo Bo Bo (IRE),Colt,Ballyhane,,Withdrawn,,
2020.0,Exceed And Excel (AUS),Kaks Roosid (FR),Filly,Tullogher House Stud,55000.0,McKeever Bloodstock/C Hills   ,,
2020.0,Holy Roman Emperor (IRE),Kalamriyda (IRE),Colt,Manister House Stud,55000.0,Magnolia Racing                (PS),,
2020.0,Roaring Lion (USA),Kanes Pass (IRE),Colt,Gormanstown Stud,90000.0,Durcan Bloodstock/S Lavery    ,,
2020.0,U S Navy Flag (USA),Karasiyra (IRE),Filly,Camas Park Stud,65000.0,"Ben McElroy, Agent            ",,
2020.0,Decorated Knight (GB),Katch Me Katie (GB),Filly,Irish National Stud,18000.0,Johnston Racing               ,,
2020.0,Dandy Man (IRE),Kayak (GB),Filly,Ballylinch Stud,260000.0,Stroud Coleman/Clancy B'Stock ,,
2020.0,Havana Grey (GB),Kendamara (FR),Colt,Lynn Lodge Stud,85000.0,Clive Cox Racing              ,,
2020.0,Saxon Warrior (JPN),Kinaesthesia (GB),Colt,Staffordstown,45000.0,Brown Island Stables          ,,
2020.0,Highland Reel (IRE),Kirinda (IRE),Filly,Marlhill House Stud,75000.0,Whitethorn Stud               ,,
2020.0,Acclamation (GB),Kiss of Spring (IRE),Filly,Rathbarry Stud,75000.0,Dwayne Woods                  ,,
2020.0,No Nay Never (USA),Kitty Love (USA),Colt,Croom House Stud,130000.0,BBA Ireland                   ,,
2020.0,Caravaggio (USA),Kitty Matcham (IRE),Filly,Barronstown Stud,62000.0,Mark Grant Racing             ,,
2020.0,New Bay (GB),Kymera (IRE),Colt,Lynn Lodge Stud,75000.0,Brown Island Stables          ,,
2020.0,Gregorian (IRE),La Belle Maison (IRE),Colt,Newlands House Stud,20000.0,Federico Barberini            ,,
2020.0,Zoffany (IRE),Lady Clinch (IRE),Colt,Whitehall Stud,,Not Sold (39000),,
2020.0,Caravaggio (USA),Lady Fashion (GB),Filly,Glenvale Stud,90000.0,Adrian Wallace/Lewis Lakin    ,,
2020.0,Galileo (IRE),Lady Lara (IRE),Colt,Camas Park Stud,250000.0,BBA Ireland/Yulong Investments,,
2020.0,Lope de Vega (IRE),L'Amour de Ma Vie (USA),Colt,Ballylinch Stud,75000.0,Barry Lynch                   ,,
2020.0,U S Navy Flag (USA),Leaf (IRE),Colt,Pier House Stud,70000.0,Peter & Ross Doyle B/S        ,,
2020.0,Siyouni (FR),Legende Bleue (GB),Colt,Grove Stud,265000.0,PAntonacci/MVMagnier/J O'Brien,,
2020.0,Invincible Spirit (IRE),Lethal Quality (USA),Colt,Irish National Stud,78000.0,Longways Stables              ,,
2020.0,Awtaad (IRE),Letizia (IRE),Filly,Yellowford Farm,55000.0,Peter & Ross Doyle B/S        ,,
2020.0,Invincible Spirit (IRE),Liberating (GB),Colt,Airlie Stud,100000.0,Clive Cox Racing              ,,
2020.0,Saxon Warrior (JPN),Lina de Vega (IRE),Filly,Ballylinch Stud,55000.0,Paddy Twomey                  ,,
2020.0,Starspangledbanner (AUS),Little Sweetheart (IRE),Colt,Churchtown Hill Stud,,Vendor (58000),,
2020.0,Zoustar (AUS),London Welsh (GB),Colt,Mount Coote Stud,90000.0,Avenue Bloostock              ,,
2020.0,Churchill (IRE),Lonely Ahead (USA),Filly,The Castlebridge Consignment,42000.0,Crampscastle Bloodstock       ,,
2020.0,Dark Angel (IRE),Love In The Desert (GB),Filly,Grangemore Stud,120000.0,R O'Ryan/Norman Steel         ,,
2020.0,Saxon Warrior (JPN),Love Magic (GB),Filly,The Castlebridge Consignment,160000.0,Meridian International        ,,
2020.0,Caravaggio (USA),Loved (IRE),Filly,Rockfield Farm,68000.0,Magnolia Racing               ,,
2020.0,New Approach (IRE),Luisa Calderon (GB),Colt,Staffordstown,45000.0,"A.C.Elliott,Agent for Audax II",,
2020.0,Ulysses (IRE),Luminous (GB),Filly,The Castlebridge Consignment,,Withdrawn,,
2020.0,Lawman (FR),Lune Orientale (IRE),Filly,Glacken View,62000.0,Gaelic Bloodstock             ,,
2020.0,Kingman (GB),Madly Truly (USA),Filly,Baroda Stud,100000.0,Pearly Baker                  ,,
2020.0,Frankel (GB),Manderley (IRE),Filly,Baroda Stud,,Withdrawn,,
2020.0,Sioux Nation (USA),Many Colours (GB),Filly,Whitehall Stud,230000.0,Al Shira'aa Farm              ,,
2020.0,Churchill (IRE),Many Hearts (USA),Filly,Baroda Stud,,Vendor (26000),,
2020.0,Holy Roman Emperor (IRE),Margarita (IRE),Colt,Marlhill House Stud,,Withdrawn,,
2020.0,U S Navy Flag (USA),Maria Lee (IRE),Filly,Clare Castle Stud,220000.0,Al Shira'aa Farm              ,,
2020.0,Cracksman (GB),Marie Toulouse (IRE),Filly,Rathbarry Stud,22500.0,Pat McCarthy                   (PS),,
2020.0,Territories (IRE),Matron of Honour (IRE),Colt,Clonmult Farm,65000.0,"A.C.Elliott,Agent RalphBeckett",,
2020.0,Invincible Spirit (IRE),Mauresmo (IRE),Filly,Oghill House Stud,130000.0,Deuce Greathouse/R Masterson  ,,
2020.0,Starspangledbanner (AUS),Mimiteh (USA),Colt,Old Carhue Stud,135000.0,M R Bloodstock                ,,
2020.0,Camacho (GB),Miracolia (IRE),Filly,Kildaragh Stud,30000.0,Compas Equine                  (PS),,
2020.0,Dark Angel (IRE),Miranda Frost (IRE),Colt,Yeomanstown Stud,16000.0,Federico Barberini             (PS),,
2020.0,Belardo (IRE),Mirdhak (GB),Colt,Rossenarra Stud,12000.0,Andrew Slatttery Racing       ,,
2020.0,Caravaggio (USA),Mironica (IRE),Colt,Whitehall Stud,35000.0,Castlequarter                  (PS),,
2020.0,Kodiac (GB),Miss Azeza (GB),Filly,Grangemore Stud,,Withdrawn,,
2020.0,Camacho (GB),Miss Indigo (GB),Filly,Yeomanstown Stud,72000.0,Magnolia Racing               ,,
2020.0,Saxon Warrior (JPN),Miss Understood (IRE),Filly,Glenvale Stud,,Vendor (92000),,
2020.0,Mendelssohn (USA),Moanin (FR),Filly,The Castlebridge Consignment,80000.0,D J Stables                   ,,
2020.0,Showcasing (GB),Model Looks (IRE),Filly,Ballyhane,48000.0,Kilbrew Stables               ,,
2020.0,Cotai Glory (GB),Moment of Truth (IRE),Filly,Tally Ho Stud,52000.0,Montgomery Motto              ,,
2020.0,Kingman (GB),Monroe Bay (IRE),Filly,Ballylinch Stud,,Withdrawn,,
2020.0,New Bay (GB),Moody Blue (IRE),Colt,Yeomanstown Stud,200000.0,Richard Ryan                  ,,
2020.0,Starspangledbanner (AUS),Moonlight Bay (GB),Filly,Ballyhane,,Withdrawn,,
2020.0,Holy Roman Emperor (IRE),Moonstone Magic (GB),Filly,Baroda Stud,31000.0,J.S. Bolger                   ,,
2020.0,Australia (GB),Mt of Beatitudes (IRE),Filly,Glenvale Stud,,Withdrawn,,
2020.0,Caravaggio (USA),Muthabara (IRE),Filly,Baroda Stud,20000.0,Castle Quarter                ,,
2020.0,Zoustar (AUS),My Aquarian (IRE),Colt,The Castlebridge Consignment,,Withdrawn,,
2020.0,Kuroshio (AUS),My Better Half (GB),Colt,Mountain View Stud,120000.0,SackvilleDonald               ,,
2020.0,Dawn Approach (IRE),My Fere Lady (USA),Colt,Boherguy Stud,11000.0,James Dowling/Pat O'Donovan   ,,
2020.0,Sea The Stars (IRE),My Spirit (IRE),Colt,The Castlebridge Consignment,210000.0,Manor House Stud              ,,
2020.0,Australia (GB),Myrica (GB),Colt,Ballygallon Stud Ltd,75000.0,Peter Nolan/Noel Meade        ,,
