Stallion,Offered,Sold,High £,Av. £,Med. £,Colt Av. £,Colt Med. £,Filly Av. £,Filly Med. £,year,age
Dubawi,31,28,"1,690,615","796,481","669,375","830,350","682,500","640,684","486,052",2022,yearling
Dubawi,27,23,"2,041,931","534,327","446,250","440,212","459,375","636,998","420,000",2021,yearling
Galileo,23,23,"1,280,059","464,193","357,000","355,862","241,500","605,023","538,741",2021,yearling
Frankel,47,43,"2,940,000","584,192","338,123","689,644","325,500","406,242","352,811",2022,yearling
Kingman,42,31,"1,102,500","328,787","283,500","358,009","315,000","267,419","212,270",2022,yearling
Galileo,34,32,"761,250","321,043","259,307","267,528","199,500","410,235","386,442",2022,yearling
Frankel,38,29,"971,250","339,699","241,500","390,491","297,016","277,186","210,000",2021,yearling
Siyouni,78,63,"1,775,146","284,914","181,741","251,468","178,784","315,320","210,000",2022,yearling
Sea the Stars,91,79,"840,000","237,965","178,500","272,974","210,000","196,149","136,074",2022,yearling
Kingman,82,63,"1,155,000","245,958","178,500","261,542","168,000","222,269","189,000",2021,yearling
Lope de Vega,71,56,"1,890,000","245,561","164,452","201,643","157,500","289,478","214,890",2022,yearling
Night of Thunder,97,90,"840,000","197,346","162,750","173,536","139,763","227,109","173,781",2022,yearling
Lope de Vega,97,87,"761,250","184,497","157,500","174,803","128,006","198,230","159,576",2021,yearling
Siyouni,53,41,"1,276,207","182,176","157,399","205,237","165,907","152,709","112,732",2021,yearling
Camelot,45,37,"1,024,047","170,434","136,129","229,049","210,000","108,563","81,385",2021,yearling
No Nay Never,78,72,"2,324,190","226,671","134,668","191,505","152,155","278,813","125,149",2022,yearling
Wootton Bassett,90,83,"633,981","151,427","130,160","138,055","136,500","168,885","128,478",2022,yearling
No Nay Never,62,53,"971,250","183,863","128,006","164,416","106,672","204,057","136,314",2021,yearling
Sea the Stars,89,78,"1,575,000","187,551","126,810","178,366","136,540","196,736","118,500",2021,yearling
Wootton Bassett,45,42,"425,402","136,768","110,605","143,873","105,803","128,167","131,875",2021,yearling
Invincible Spirit,44,35,"504,000","112,827","85,337","104,123","89,427","122,043","76,458",2021,yearling
Too Darn Hot,56,48,"630,000","118,304","84,726","116,702","86,890","120,197","80,500",2022,yearling
Camelot,51,45,"472,500","111,367","80,453","146,303","114,117","80,798","60,356",2022,yearling
Dark Angel,83,65,"787,500","108,291","78,750","120,536","78,750","93,090","80,000",2021,yearling
Kodiac,132,119,"493,500","103,830","75,600","92,826","65,500","115,020","81,070",2021,yearling
Blue Point,98,78,"375,446","97,877","73,500","97,627","74,250","98,169","73,500",2022,yearling
Night of Thunder,43,36,"393,750","99,503","70,000","126,879","92,000","68,906","52,500",2021,yearling
Oasis Dream,65,57,"441,000","81,489","68,250","84,869","69,020","78,225","68,250",2021,yearling
Dark Angel,92,84,"525,000","95,069","68,155","118,886","80,226","71,251","53,300",2022,yearling
Roaring Lion,51,46,"472,500","72,738","66,582","83,389","68,250","52,766","40,950",2021,yearling
Almanzor,50,43,"446,250","86,405","63,810","88,167","76,572","83,431","57,276",2021,yearling
Showcasing,90,81,"472,500","90,920","63,000","96,867","73,500","82,699","56,175",2021,yearling
Farhh,12,12,"420,000","101,685","61,950","114,379","81,375","38,216","38,216",2022,yearling
Mehmas,73,65,"472,500","79,591","60,094","89,589","63,000","68,625","44,846",2022,yearling
Invincible Spirit,52,44,"630,000","124,293","60,052","122,212","60,052","126,791","60,375",2022,yearling
Le Havre,48,47,"241,500","69,209","59,250","75,935","63,482","66,057","55,149",2021,yearling
Mehmas,50,44,"262,500","80,032","55,500","84,445","60,256","72,309","54,250",2021,yearling
Acclamation,51,43,"294,000","70,615","54,000","90,866","64,135","53,005","45,150",2021,yearling
Kodiac,100,85,"514,004","86,506","52,500","85,278","51,450","88,178","56,375",2022,yearling
Showcasing,94,79,"315,000","73,668","52,500","79,717","57,750","61,336","47,250",2022,yearling
Starspangledbanner,73,62,"630,000","111,303","52,500","133,146","65,100","86,446","42,000",2022,yearling
Zoustar,73,67,"325,500","73,652","52,500","83,091","65,000","68,034","51,851",2021,yearling
Starspangledbanner,90,78,"231,000","62,487","50,917","63,658","53,101","60,972","48,100",2021,yearling
Zoustar,71,66,"341,250","74,085","50,442","55,902","42,000","90,189","53,635",2022,yearling
Exceed and Excel,47,43,"200,000","58,380","49,496","48,551","48,000","72,031","52,048",2021,yearling
Cracksman,40,34,"294,000","70,201","49,352","57,482","42,000","90,747","84,000",2022,yearling
Zarak,41,32,"169,062","56,489","49,283","47,583","39,048","65,395","61,609",2022,yearling
Le Havre,68,58,"507,185","90,658","49,204","49,835","44,254","128,759","63,788",2022,yearling
Ardad,14,12,"210,000","73,173","48,825","119,042","115,500","40,409","30,495",2022,yearling
Waldgeist,61,54,"178,784","54,458","48,208","50,788","52,932","58,127","44,696",2022,yearling
